Line - Token - Classification
1 - Class: - CLASS
1 - Customer - CLASS_NAME
2 - EquivalentTo: - EQUIVALENT
3 - Person - CLASS_NAME
4 - and - LOGICAL
4 - ( - LPAR
4 - purchasedPizza - PROPRIETY
4 - some - QUANTIFIER
4 - Pizza - CLASS_NAME
4 - ) - RPAR
5 - and - LOGICAL
5 - ( - LPAR
5 - hasPhone - PROPRIETY
5 - some - QUANTIFIER
5 - xsd:string - NAMESPACE
5 - ) - RPAR
6 - Individuals: - INDIVIDUALS
7 - Customer - CLASS_NAME
7 - 1 - NUMBER
7 - , - COMMA
8 - Customer - CLASS_NAME
8 - 10 - NUMBER
8 - , - COMMA
9 - Customer - CLASS_NAME
9 - 2 - NUMBER
9 - , - COMMA
10 - Customer - CLASS_NAME
10 - 3 - NUMBER
10 - , - COMMA
11 - Customer - CLASS_NAME
11 - 4 - NUMBER
11 - , - COMMA
12 - Customer - CLASS_NAME
12 - 5 - NUMBER
12 - , - COMMA
13 - Customer - CLASS_NAME
13 - 6 - NUMBER
13 - , - COMMA
14 - Customer - CLASS_NAME
14 - 7 - NUMBER
14 - , - COMMA
15 - Customer - CLASS_NAME
15 - 8 - NUMBER
15 - , - COMMA
16 - Customer - CLASS_NAME
16 - 9 - NUMBER
17 - Class: - CLASS
17 - Employee - CLASS_NAME
18 - SubClassOf: - SUBCLASS
19 - Person - CLASS_NAME
20 - and - LOGICAL
20 - ( - LPAR
20 - ssn - PROPRIETY
20 - min - QUANTIFIER
20 - 1 - NUMBER
20 - xsd:string - NAMESPACE
20 - ) - RPAR
21 - Individuals: - INDIVIDUALS
22 - Chef - CLASS_NAME
22 - 1 - NUMBER
22 - , - COMMA
23 - Manager - CLASS_NAME
23 - 1 - NUMBER
23 - , - COMMA
24 - Waiter - CLASS_NAME
24 - 1 - NUMBER
24 - , - COMMA
25 - Waiter - CLASS_NAME
25 - 2 - NUMBER
26 - Class: - CLASS
26 - Pizza - CLASS_NAME
27 - SubClassOf: - SUBCLASS
28 - hasBase - PROPRIETY
28 - some - QUANTIFIER
28 - PizzaBase - CLASS_NAME
28 - , - COMMA
29 - hasCaloricContent - PROPRIETY
29 - some - QUANTIFIER
29 - xsd:integer - NAMESPACE
30 - DisjointClasses: - DISJOINT_CLASS
31 - Pizza - CLASS_NAME
31 - , - COMMA
31 - PizzaBase - CLASS_NAME
31 - , - COMMA
31 - PizzaTopping - CLASS_NAME
32 - Individuals: - INDIVIDUALS
33 - CustomPizza - CLASS_NAME
33 - 1 - NUMBER
33 - , - COMMA
34 - CustomPizza - CLASS_NAME
34 - 2 - NUMBER
35 - Class: - CLASS
35 - CheesyPizza - CLASS_NAME
36 - EquivalentTo: - EQUIVALENT
37 - Pizza - CLASS_NAME
38 - and - LOGICAL
38 - ( - LPAR
38 - hasTopping - PROPRIETY
38 - some - QUANTIFIER
38 - CheeseTopping - CLASS_NAME
38 - ) - RPAR
