Line - Token - Classification
1 - Class: - CLASS
1 - Activityies - CLASS_NAME
2 - SubClassOf: - SUBCLASS
3 - FunctionalComplex - CLASS_NAME
3 - , - COMMA
4 - participatedIn - PROPRIETY
4 - some - SOME
4 - DataExchange - CLASS_NAME
5 - Class: - CLASS
5 - Actor - CLASS_NAME
7 - SubClassOf: - SUBCLASS
8 - FunctionalComplex - CLASS_NAME
8 - , - COMMA
9 - participatedIn - PROPRIETY
9 - some - SOME
9 - DataExchange - CLASS_NAME
12 - Class: - CLASS
12 - BrokerServiceProvider - CLASS_NAME
15 - SubClassOf: - SUBCLASS
16 - IntermediaryParticipant - CLASS_NAME
16 - , - COMMA
17 - mediates - PROPRIETY
17 - some - SOME
17 - MetadataAssignment - CLASS_NAME
17 - , - COMMA
18 - mediates - PROPRIETY
18 - some - SOME
18 - MetadataRetrival - CLASS_NAME
21 - Class: - CLASS
21 - Certificate - CLASS_NAME
23 - SubClassOf: - SUBCLASS
24 - Resource - CLASS_NAME
24 - , - COMMA
25 - mediates - PROPRIETY
25 - some - SOME
25 - CertificationAct - CLASS_NAME
28 - Class: - CLASS
28 - Certification - CLASS_NAME
31 - SubClassOf: - SUBCLASS
32 - Activity - CLASS_NAME
32 - , - COMMA
33 - historicallyDependsOn - PROPRIETY
33 - only - ONLY
33 - CertificationAct - CLASS_NAME
33 - , - COMMA
34 - historicallyDependsOn - PROPRIETY
34 - exactly - QUANTIFIER
34 - 1 - NUMBER
34 - CertificationAct - CLASS_NAME
37 - Class: - CLASS
37 - CertificationAct - CLASS_NAME
40 - EquivalentTo: - EQUIVALENT
41 - Relator - CLASS_NAME
42 - and - LOGICAL
42 - ( - LPAR
42 - historicallyDependsOn - PROPRIETY
42 - only - ONLY
42 - EvaluationReport - CLASS_NAME
42 - ) - RPAR
43 - and - LOGICAL
43 - ( - LPAR
43 - mediates - PROPRIETY
43 - only - ONLY
43 - ( - LPAR
43 - Certificate - CLASS_NAME
