Line - Token - Classification
1 - Class: - CLASS
1 - MargheritaPizza - CLASS_NAME
2 - EquivalentTo: - EQUIVALENT
3 - Pizza - CLASS_NAME
4 - and - LOGICAL
4 - ( - LPAR
4 - hasTestando - PROPRIETY
4 - some - SOME
4 - ( - LPAR
4 - hasSpiciness - PROPRIETY
4 - value - QUANTIFIER
4 - Hot - CLASS_NAME
4 - ) - RPAR
4 - ) - RPAR
6 - SubClassOf: - SUBCLASS
7 - NamedPizza - CLASS_NAME
7 - , - COMMA
8 - hasTopping - PROPRIETY
8 - some - SOME
8 - MozzarellaTopping - CLASS_NAME
8 - , - COMMA
9 - hasTopping - PROPRIETY
9 - some - SOME
9 - TomatoTopping - CLASS_NAME
9 - , - COMMA
10 - hasTopping - PROPRIETY
10 - only - ONLY
10 - ( - LPAR
10 - MozzarellaTopping - CLASS_NAME
10 - or - LOGICAL
10 - TomatoTopping - CLASS_NAME
10 - ) - RPAR
