Line - Token - Classification
1 - Class: - CLASS
1 - Customer - CLASS_NAME
1 - EquivalentTo: - EQUIVALENT
1 - Person - CLASS_NAME
1 - and - LOGICAL
1 - ( - LPAR
1 - purchasedPizza - PROPRIETY
1 - some - SOME
1 - Pizza - CLASS_NAME
1 - ) - RPAR
1 - and - LOGICAL
1 - ( - LPAR
1 - hasPhone - PROPRIETY
1 - some - SOME
1 - xsd:string - NAMESPACE
1 - ) - RPAR
1 - Individuals: - INDIVIDUALS
1 - Customer1 - INDIVIDUAL_NAME
1 - , - COMMA
1 - Customer10 - INDIVIDUAL_NAME
1 - , - COMMA
1 - Customer2 - INDIVIDUAL_NAME
1 - , - COMMA
1 - Customer3 - INDIVIDUAL_NAME
1 - , - COMMA
1 - Customer4 - INDIVIDUAL_NAME
1 - , - COMMA
1 - Customer5 - INDIVIDUAL_NAME
1 - , - COMMA
1 - Customer6 - INDIVIDUAL_NAME
1 - , - COMMA
1 - Customer7 - INDIVIDUAL_NAME
1 - , - COMMA
1 - Customer8 - INDIVIDUAL_NAME
1 - , - COMMA
1 - Customer9 - INDIVIDUAL_NAME
2 - Class: - CLASS
2 - Employee - CLASS_NAME
2 - SubClassOf: - SUBCLASS
2 - Person - CLASS_NAME
2 - and - LOGICAL
2 - ( - LPAR
2 - ssn - PROPRIETY
2 - min - QUANTIFIER
2 - 1 - NUMBER
2 - xsd:string - NAMESPACE
2 - ) - RPAR
2 - Individuals: - INDIVIDUALS
2 - Chef1 - INDIVIDUAL_NAME
2 - , - COMMA
2 - Manager1 - INDIVIDUAL_NAME
2 - , - COMMA
2 - Waiter1 - INDIVIDUAL_NAME
2 - , - COMMA
2 - Waiter2 - INDIVIDUAL_NAME
3 - Class: - CLASS
3 - Pizza - CLASS_NAME
3 - SubClassOf: - SUBCLASS
3 - hasBase - PROPRIETY
3 - some - SOME
3 - PizzaBase - CLASS_NAME
3 - , - COMMA
3 - hasCaloricContent - PROPRIETY
3 - some - SOME
3 - xsd:integer - NAMESPACE
3 - DisjointClasses: - DISJOINT
3 - Pizza - CLASS_NAME
3 - , - COMMA
3 - PizzaBase - CLASS_NAME
3 - , - COMMA
3 - PizzaTopping - CLASS_NAME
3 - Individuals: - INDIVIDUALS
3 - CustomPizza1 - INDIVIDUAL_NAME
3 - , - COMMA
3 - CustomPizza2 - INDIVIDUAL_NAME
4 - Class: - CLASS
4 - CheesyPizza - CLASS_NAME
4 - EquivalentTo: - EQUIVALENT
4 - Pizza - CLASS_NAME
4 - and - LOGICAL
4 - ( - LPAR
4 - hasTopping - PROPRIETY
4 - some - SOME
4 - CheeseTopping - CLASS_NAME
4 - ) - RPAR
4 - Individuals: - INDIVIDUALS
4 - CheesyPizza1 - INDIVIDUAL_NAME
5 - Class: - CLASS
5 - HighCaloriePizza - CLASS_NAME
5 - EquivalentTo: - EQUIVALENT
5 - Pizza - CLASS_NAME
5 - and - LOGICAL
