Line - Token - Classification
1 - Class: - CLASS
1 - DigitalAsset - CLASS_NAME
2 - EquivalentTo: - EQUIVALENT
3 - Coisinha - CLASS_NAME
5 - SubClassOf: - SUBCLASS
6 - Resource - CLASS_NAME
6 - , - COMMA
7 - historicallyDependsOn - PROPRIETY
7 - some - SOME
7 - OfferorUnconditionalAgreement - CLASS_NAME
9 - DisjointWith: - DISJOINT
10 - Uiui - CLASS_NAME
12 - Individuals: - INDIVIDUALS
13 - Somteste1 - INDIVIDUAL_NAME
13 - , - COMMA
13 - Conditional2 - INDIVIDUAL_NAME
16 - Class: - CLASS
16 - ConditionalClaim - CLASS_NAME
18 - SubClassOf: - SUBCLASS
19 - IntrinsicMode - CLASS_NAME
19 - , - COMMA
20 - historicallyDependsOn - PROPRIETY
20 - min - QUANTIFIER
20 - 1 - NUMBER
20 - MetadataRetrival - CLASS_NAME
20 - , - COMMA
21 - inheresIn - PROPRIETY
21 - exactly - QUANTIFIER
21 - 1 - NUMBER
21 - Teste - CLASS_NAME
21 - , - COMMA
22 - externallyDependsOn - PROPRIETY
22 - exactly - QUANTIFIER
22 - 1 - NUMBER
22 - DataSupplier - CLASS_NAME
24 - DisjointWith: - DISJOINT
25 - Eita - CLASS_NAME
27 - Individuals: - INDIVIDUALS
28 - TesteSom1 - INDIVIDUAL_NAME
28 - , - COMMA
28 - DigitalAsset2 - INDIVIDUAL_NAME
